text_en,text_ky
"It will come soon, but we can’t be sure when it will arrive.","Ал жакында жаайт, бирок качан жаай турганын билбейбиз."
"When the rain comes, all the plants will grow again and there will be lots of food for everybody.”","Жамгыр жааганда өсүмдүктөр кайра өсүп, бардыгы үчүн тамак жетиштүү болот." 
He thought a little longer.,Бир аз ойлонгондон кийин ал кошумчалады:
"“The only thing I can think of is for everyone to move closer to the forest,” he continued.","Бардыгы токойдун жанына көчүшү керек деп ойлойм." 
"“There will be more things to eat there, but I know it’s a long trip and it will not be very easy.","Ал жакта жегенге көбүрөөк нерсе болот, бирок бул узак жол, жана ал оңой болбойт." 
It might take days to get there.” ,Бир нече күн кетиши мүмкүн.
Ginger and Mickey looked at each other and then looked back at Leo.,"Гинжер менен Микки бири-бирине карап, анан Леого карап:"
"“Thank you, Leo,” said Ginger. “It’s probably best if they all try to get closer to the jungle.”","Рахмат, Лео, деди Гинжер. Балким, баарына токойго жакындаган жакшы болот." 
They said goodbye and then walked back across the savannah.,"Алар коштошуп, кайра саваннанын аркы жагына басып жөнөштү." 
Now they needed to gather all of the animals together to start the long journey.,"Эми бардык жаныбарларды чогултуп, узак сапарга чыгууга даярдануу керек болчу."
Ginger didn't need to go along because she had plenty of food in her high trees.,"Гинжердин бара турган зарылдыгы жок болчу, анткени ал бийик дарактарынан тамак жей алчу."
But she was a good friend and wanted to help as much as she could.,Бирок ал жакшы дос эле жана колунан келген жардамын берүүнү каалады.
They walked towards her favorite trees and guess what she and Mickey saw?,"Алар анын сүйүктүү дарактарына жөнөштү, жана эмне болду деп ойлойсуңар?"
All of the animals were already gathered there and waiting for Ginger and Mickey!,"Гинжер менен Микки ал жакка барганда, бардык жаныбарлар буга чейин чогулуп, аларды күтүп жатышыптыр!" 
“Why are you all here?” asked Ginger.,Баарыңар бул жакта эмне үчүн турасыңар? деп сурады Гинжер.
"“Eddie the Eagle told us that you’re taking us to the edge of the jungle,” said one of the zebras. ","Эдди бүркүт бизге силер бизди токойдун четине алып барасыңар деп айтты, деди бир зебра."
“How did he know?” asked Mickey.,Ал кантип билди? деп сурады Микки.
"“He heard you talking with Leo,” said one of the antelopes.","Ал Лео менен сүйлөшкөнүңөрдү угуптур, деди бир антилопа."
“So you’ve all decided to try to walk together to the jungle?” asked Ginger.,"Демек, баарыңар токойго бирге барууну чечтиңерби? деп сурады Гинжер." 
"“Yes,” they all answered.","Ооба, деп баары жооп беришти."
"“If you’ll help us to get there,” added one of the elephants.","Эгер бизди алып барууга жардам берсең, деп кошумчалады бир пил." 
"“Of course, I’ll help,” said Ginger.","Албетте, жардам берем, деди Гинжер." 
“I’m your friend.”,Мен силердин досуңармын. 
So they started on their big journey across the savannah to the jungle.,"Ошентип, алар саваннанын аркы жагына токойго чоң сапарга чыгышты."
The sun was so hot and there was no food and no place to get a drink of water.,"Күн аябай ысык болчу, тамак жок, жана суу ичкенге жер жок эле." 
And then they heard it.,Ошондо алар угушту. 
It was thunder!,Бул күн күркүрөгөнү болчу!
"“Thunder!”, they all shouted.","Күн күркүрөө! деп баары кыйкырды." 
Thunder was very scary to the animals of the savannah.,Саваннанын жаныбарлары күн күркүрөгөндөн аябай коркушчу. 
Can you guess why?,Эмне үчүн деп ойлойсуңар?
Fire! Sometimes the lightning hits the dry grass and the whole savannah catches fire.,"Кээде чагылган кургак чөпкө тийип, бүтүндөй саванна өрттөнүп кетчү."
Then everyone has to run.,Анда баары качышы керек эле. 
And that is exactly what happened.,Ошол эле болду. 
“Fire!” they shouted.,"Өрт!" деп кыйкырышты.
They could smell it.,Алар жытын сезишти. 
And now they could see it.,Эми аны көрө башташты. 
The fire was coming towards them!,Өрт аларга жакындап келе жатты!
Ginger had to think fast.,Гинжер тез ойлонушу керек эле.
Because she was so tall she could see farther than any of the other animals.,"Ал абдан узун болгондуктан, башка жаныбарларга караганда алысты жакшы көрчү."
She stretched her long neck up as far as she could.,"Ал моюнун мүмкүн болушунча сунуп, өрт жок жерди көрдү." 
Now she could see a place where there was no fire. “Quick!” she said.,"Тез! Баарыңар бул жакка чуркагыла, деди ал."  
“Everyone run this way.”,"Баардык жаныбарлар аны ээрчип, мүмкүн болушунча тез чуркап жөнөштү"
"All of the animals followed her and ran as fast as they could. Soon, they were out of danger.","" 
They stopped and gathered together one more time.","Жакында алар коопсуз жерде болушту." 
“Is everyone here?”,Баары бул жерде барбы?
Ginger asked.,деп сурады Гинжер. 
She wanted to make sure they were all safe.,Ал алардын баары аман-эсен экенине ынангысы келди. 
All the animals looked around; they were all there.,"Баардык жаныбарлар тегерек карап, бирин-бири эсептешти. Баары бар эле." 
And then the most wonderful thing happened.,Ошондо эң сонун нерсе болду. 
"“I felt a drop,” said a zebra.","Мен бир тамчы сездим, деди зебра." 
"“Me too,” said an antelope.","Мен да, деди антилопа." 
It was rain!,Бул жамгыр болчу! 
Finally!,Акыры!
Everyone was very happy.,Баары абдан бактылуу болушту. 
It started to rain a little more and then a little more.,Жамгыр көбүрөөк жаай баштады жана андан да көбүрөөк жаады. 
"The rain put out the fire so they didn’t have to run.,"Жамгыр өрттү өчүрүп, аларга качуунун кереги жок болду." 
"And the rain filled their watering holes and made the plants grow again, so they didn’t have to make that long trip to the edge of the jungle.","Жамгыр алардын суу булактарын толтуруп, өсүмдүктөрдү кайра өстүрдү." 
Everyone would soon have enough food and water.,"Ошентип, баарынын тамак-ашы менен суусу жетиштүү болду."
"So Ginger, the Giraffe went back to her favorite tree and continued to munch on the leaves and buds.","Гинжер жираф болсо сүйүктүү дарагына кайтып, жалбырактар менен бүчүрлөрдү чайнап жей баштады."

(book3)
They need to be done and depending on your outlook can be accomplished easily.,"Ишти бүтүрүү керек, жана көз карашыңарга жараша аларды оңой эле аткарууга болот." 
Doing My Chores is intended to impart a message of importance in accomplishing one's given tasks.,"Менин жумуштарым" деген текст берилген тапшырмаларды аткаруунун маанилүүлүгүн түшүндүрүүгө багытталган.
I like doing my chores.,Мен өзүмдүн жумуштарымды кылганды жактырам. 
"Well, maybe not all of them but most of them.","Же, балким, алардын бардыгын эмес, бирок көбүн." 
"Hmm, maybe not most of them.","Хм, балким, көбүн да эмес"   
"But a lot of them.,Бирок көпчүлүгүн. 
"Okay, maybe not a lot of them.","Макул, балким көпчүлүгүн да эмес."  
But a few of them.,Бирок айрымдарын. 
"Well, maybe not a few of them but","Же, балким, бир-экөөсүн да эмес." 
None of them!,"Жок, тамашалап жатам!"
Just fooling,"Чын эле, жумуштарымды кылганды жактырам." 
I really do like doing my chores.,"Мен жумуштарымды кылсам, апам менен атама жардам берем, жана билесиңер, апалар менен аталарга кээде көп жардам керек болот."  
"When I do my chores, it helps my Mommy and Daddy, and as you know Mummies and Daddies sometimes need a lot of help.","Мен жумуштарымды кылсам, өзүмдү маанилүү сезем, жана маанилүү болгонду жактырам." 
"When I do my chores, it makes me feel important and I like to be important.","Ошондо мен кызыктай оюн ойлоп чыгарам, жана андай оюндун жардамы менен жумуш жеңилдейт."  
Don’t you?,Силер да жактырасыңарбы?
"Sometimes I get bored so I do some chores, even if they are not my chores.","Кээде зеригип кетем, анан жумуштарды кылып алам, атүгүл алар менин жумуштарым болбосо да." 
Sometimes I have chores that I do not like to do.,Кээде жактырбаган жумуштарымды кылууга туура келет. 
When that happens I make up a silly game and that makes the chore easier.","Ошондо мен кызыктай оюн ойлоп чыгарам, жана андай оюндун жардамы менен жумуш жеңилдейт."  
"Like yesterday, I had to put my laundry away and I pretended that I was hiding it from my Mommy.","Мисалы, кечээ кирлеримди жыйнашым керек болчу, жана апамдан жашырып жатам деп элестеттим."  
It was fun and I think I remember where I put it.,"Бул абдан кызыктуу болду, жана мен аны кайда койгонумду эстей алам деп ойлойм." 
Just fooling …,Тамаша... 
It is in my dresser where it belongs.,"Ал өзүнүн тартмасында, өз ордунда турат." 
"Sometimes when all my chores are done, we go to the park or have other special time.","Кээде бардык жумуштар бүткөндөн кийин, биз сейил бакка барабыз же башка кызыктуу иштерди жасайбыз."  
I know if my chores weren’t done we wouldn’t be able to do that.,"Эгер жумуштарымды кылбасам, биз андай иштерди жасай алмак эмеспиз." 
“So be important and have some fun.,Андыктан маанилүү болгула жана көңүлдүү болгула 
Do your chores until they are done.”,Бардык жумуштарды бүткөнгө чейин аткарып койгула. 

(book4)
"Hi, I am Abe and I am a Service Dog.","Салам, менин атым Эйб, жана мен Кызматчы Итмин." 
"When I was a puppy, my owner told me I would be a Service Dog for a person who could not see.","Күчүк кезимде ээсим мага көзү көрбөгөн адамга жардам берүүчү Кызматчы Ит болорумду айткан." 
"I didn’t know what that meant, but I knew it was something special.","Бул эмнени билдирерин түшүнгөн эмесмин, бирок бул өзгөчө нерсе экенин билчүмүн." 
"When I got a little older, I was sent away to school.","Мен бир аз чоңойгондо, мени мектепке жиберишти." 
My sister was sent to another school to learn how to help people with Autism.,"Менин эжемди башка мектепке жөнөтүштү, ал жерде ал аутизм менен ооруган адамдарга жардам берүүнү жана алардын досу болуп, аларга жол көрсөтүүнү үйрөнмөк."
To be their friend and help them get around. One of my other brothers was sent to a special school so he could learn how to warn people that they were going to get sick before they did.," Менин бир тууганым болсо, адамдарга оору баштала электе кабар берүү үчүн машыккан атайын мектепке жөнөтүлдү." 
My other brothers and sisters became good friends with people in good families.,Башка бир туугандарым жакшы үй-бүлөлөрдөгү адамдар менен жакшы дос болушту. 
Not every dog can become a Service Dog.,Ар бир ит Кызматчы Ит боло албайт. 
School was hard. I had to learn many things just like you.,Мектеп кыйын эле. 
I had to learn to stop and look before crossing the street.,Мен силер сыяктуу эле көп нерсени үйрөнүшүм керек болчу. 
"And learn what a red, yellow, and green directional light meant and what I should do.","Көчөнү кесип өтөрдөн мурун токтоп, карап турууну үйрөнүшүм керек эле." 
"I was taught how to guide a person to go left, right, to step up and down, to stop, to move forward a little, to back up, and much more.","Жашыл, сары жана кызыл сигналдык чырактардын маанисин жана аларга кандай реакция кылышымды үйрөндүм." 
"I had to learn where I was and how to get back, even in strange areas.","Мен адамга солго, оңго бурулууну, өйдө же ылдый кадам таштоону, токтоону, алдыга бир аз жылууну, артка чегинүүнү жана башка көп нерселерди көрсөтүүнү үйрөндүм." 
"I had to learn how to behave in a restaurant and never, ever, beg for food. That was hard.","Өзүм кайда экенимди жана чоочун аймактарда да жолду кантип табууну билүүм керек болчу." 
"I had to learn that I could be a plain old playful dog as long as my halter was off.","Мен ресторанда кандай жүрүш керек экенин, эч качан тамак сурабоо керектигин үйрөндүм."
But once it was on…,"Бул кыйын болду. Мага кадимки оюнпоз ит болууга уруксат берилген, бирок мойунчум тагылган учурда..."
I was working.,мен иштөөчү элем. 
I became the eyes of my master and their safety and how they got around was up to me.,"Мен кожоюнумдун көзү болуп калдым, анын коопсуздугу жана кыймылдоосу мага көз каранды болчу." 
"After a long time in school, I graduated and my trainer introduced me to BJ.","Көп убакытты окууда өткөргөндөн кийин, мен бүтүрүүчү болуп, машыктыруучум мени BJ аттуу адам менен тааныштырды." 
The person who would become my master.,Бул адам менин кожоюнум болмок.
We were both excited.,Экөөбүз тең толкундандык.
We trained together for several weeks and became very good friends.,"Биз бир нече жума бирге машыгып, жакшы дос болуп кеттик." 
She was really nice and we always spent fun-time together once she took my halter off.,"Ал абдан жакшы адам болчу, жана мойунчумду чечкенден кийин биз дайыма кызыктуу убакыт өткөрчүбүз." 
One day the trainer said we were ready and I was off to a new home with my master and friend.,"Бир күнү машыктыруучубуз биз даярбыз деди, жана мен жаңы үйгө, кожоюнум жана досум менен кеттим." 
We shared many years together and had many wonderful experiences.,"Биз көп жылдарды чогуу өткөрүп, сонун окуяларды баштан кечирдик."
"We went shopping, visited friends, ate in fine restaurants, and traveled across the country.","Биз соода кылдык, досторго бардык, жакшы ресторандарда тамактанып, өлкөнү араладык." 
I took care of BJ.,Мен BJге кам көрдүм.
"I knew when she didn’t feel right and could tell if she was happy or unhappy, sad, grumpy, or whatever.","Анын кандай абалда экенин сезип, анын жакшы же жаман маанайда экенин түшүнө алчумун." 
I would always try to make things better for her., Мен ар дайым анын маанайын жакшыртууга аракет кылчумун.
BJ took care of me.,BJ мага кам көрчү. 
"She knew when I didn’t feel right and could tell if I were happy or unhappy, sad, grumpy, or whatever.","Ал да менин кандай абалда экенимди билип, менин кубанычтуу же капалуу экенимди түшүнө алчу."
She would always try to make things better for me.,Ал ар дайым мени бактылуу кылууга аракет кылчу. 
A long time has passed and now I can’t help my friend any more.,"Көп убакыт өттү, эми мен досума жардам бере албайм."
BJ is off to school again and training with a new Service Dog.,"BJ кайра мектепке барып, жаңы Кызматчы Ит менен машыгуусун баштады."

(book5)
The sun shone brightly over the meadow as Class 1 of Sunny Meadows Woodland School set off for their first trip to the Shadow Woods.,"Күн жайнап токойдун этегиндеги ачык талаада жаркырап турду, ал эми Sunny Meadows мектебинин 1-классы өздөрүнүн Shadow Woods деп аталган токойго алгачкы сапарына камынып жатышты." 
Everyone was excited to be going on the adventure that they had been talking about for weeks.,Баары бул көптөн бери сүйлөшүп жүргөн укмуштуу окуяны баштоого кубанычтуу эле. 
"Their teacher, Miss Squirrel, had promised a trip to remember and the whole class now skipped excitedly through the meadow.","Мугалими Мисс Сүзгүч бул сапарды унутулгус кылаарын убада кылган, ошондуктан класстагы балдар ачык талаада асылып, кубанып секирип баратышты." 
"Well, nearly all of the class; alone at the back of the group waddled Hank.","Бирок баары эле эмес; топтун артында жалгыз Хэнк басып бараткан." 
Hank was a hedgehog who found it difficult to make friends.,Хэнк достошууну оор көргөн кирпи эле. 
He always felt like the outsider.,Ал дайыма өзүн башкалардан бөлөк сезчү.
"The others in the class, especially Matilda Mouse, kept away from Hank because they thought him odd.","Класстын башкалары, айрыкча Матильда Чычкан, аны таң калыштуу деп ойлоп, алысыраак жүрүшчү." 
"Yes, Hank was not really looking forward to the day.","Хэнк бул күндү анча жакшы көрүп, күтүп жаткан эмес." 
The journey to the Shadow Woods was longer than expected because Mr. Mole’s tunnel train was broken.","Shadow Woods токойго болгон сапар күткөндөн узакка созулду, анткени Мырза Чиркейдин туннелдик поездик бузулуп калган эле." 
Indeed Mr. Mole was there waving them off before he got back to work.,Мырза Чиркей аларды узатып туруп кайра ишине киришти.
"This just made Miss Squirrel happier though, as she could talk to the children about all the wonderful flowers that filled Sunny Meadow.","Айлананы ар түрдүү түстөр каптаган;"
There was color everywhere.,талаа асманга көтөрүлгөн жаан-чачын сыяктуу эле көрүндү.
It looked as if a rainbow had crashed into the field.,"Көп өтпөй, Shadow Woods жакын жерден кичинекей көрүнгөн нерсе аларга чоң болуп сезиле баштады."
"However, at the edge of the meadow, not everyone was looking at the flowers…",Бирок талаанын четине келгенде баары гүлдөргө карай бербеди. 
"Soon though, the Shadow Woods were upon them and something that looked small from far away suddenly grew very large before them.","Бирок көп өтпөй, Shadow Woods токойуна жакындаганда, алыстан кичинекей көрүнгөн нерсе алардын алдында күтүүсүздөн чоңоюп, өтө чоң болуп чыкты."
"Each member of the class gave a slow gulp-Matilda Mouse, Rachel Rabbit, Wendy Weasel and Ralph Racoon.","Класстын баары бирден демин ичине тартып туруп калды – Матильда Чычкан, Рейчел Коён, Венди Илбирс жана Ральф Енот." 
The biggest gulp came from Hank.,Эң чоң коркуу Хэнктен болду. 
He was nervous enough before they got to the woods and didn’t have a friend to hold on to.,Ал достору жок эле ансыз да коркуп турган.
"Matilda pretended to be brave, however, and ran on ahead compelling her friends to join her.","Матильда өзүн эр жүрөк сезгенсип, алдыга чуркап кетти, досторун да ээрчитүүгө аракет кылды." 
"Miss Squirrel was not happy about that and so she shouted for Matilda to come back.","Мисс Сүзгүч муну жактырбай, аны кайра чакырды." 
Then off she chased after her.,Андан соң Матильданы артынан кууп жөнөдү. 
"Soon the whole class followed and before they knew it, they were right in the middle of the woods.","Бир убакта бүт класс аны ээрчип, билинбей токойдун ортосуна кирип калышты." 
"Now instead of bright sunshine, only shadows scattered before them.","Эми жаркыраган күндүн ордуна, жалгыз көлөкөлөр аларды курчап калды." 
"The class stopped, their little mouths open in awe and wonder.","Класс өздөрүн таң калтырып, унчукпай туруп калды." 
